id,name,type,rarity,base_hp,base_atk,buy_dna,hybrid(0/1),buy_s_dna,s_dna_type,fusion_dna_amount,type_aquatic,battle_in_the_water,flock,buy_amber
33,モノフォサウルス,0,rare,689,215,850,0,0,0,0,0,0,0,0
34,ランフォリンクス,3,rare,575,180,750,0,0,0,0,0,0,0,0
35,アエロティタン,2,superrare,689,359,1600,0,0,0,0,0,0,0,0
36,アンキロサウルス,1,superrare,1011,259,1200,0,0,0,0,0,0,0,0
37,ヴェロキラプトル,0,superrare,800,306,1500,0,0,0,0,0,0,0,0
38,ヴェロキラプトル(第二世代),0,superrare,1023,320,1500,0,0,0,0,0,0,0,25000
39,カプロスクス,3,superrare,1245,209,1600,0,0,0,0,0,0,0,0
40,ケツァルコアトルス,2,superrare,891,278,1350,0,0,0,0,0,0,0,0
41,スーパーサウルス,1,superrare,969,248,1400,0,0,0,0,0,0,0,25000
42,ステゴサウルス,1,superrare,982,251,1500,0,0,0,0,0,0,0,0
43,スピノサウルス,0,superrare,978,250,1500,0,0,0,0,0,0,0,0
44,チェージャンゴプテルス,2,superrare,793,303,1100,0,0,0,0,0,0,0,0
45,パラサウロロフス,1,superrare,881,275,1200,0,0,0,0,0,0,0,25000
46,ポストスクス,3,superrare,552,402,1650,0,0,0,0,0,0,0,0
47,メトリオリンクス,3,superrare,793,303,1400,0,0,0,0,0,0,0,25000
48,ユーオプロケファルス,1,superrare,969,248,1000,0,0,0,0,0,0,0,25000
49,ラジャサウルス,0,superrare,881,275,1300,0,0,0,0,0,0,0,5000
50,イクチオステガ,3,legend,1493,570,3330,0,0,0,0,0,0,0,0
51,ウナイサウルス,1,legend,1757,449,2770,0,0,0,0,0,0,0,0
52,オスタフリカサウルス,0,legend,1410,539,3190,0,0,0,0,0,0,0,0
53,サルコスクス,3,legend,1500,573,3050,0,0,0,0,0,0,0,50000
54,シュノサウルス,1,legend,1695,530,3100,0,0,0,0,0,0,0,50000
55,スカフォグナトゥス,2,legend,1752,548,3700,0,0,0,0,0,0,0,50000
56,スコミムス,0,legend,1614,413,2630,0,0,0,0,0,0,0,50000
57,スコロサウルス,1,legend,1473,623,3430,0,0,0,0,0,0,0,0
58,ディメトロドン,0,legend,1520,518,3610,0,0,0,0,0,0,0,50000
59,ディモルフォドン,3,legend,1569,599,3600,0,0,0,0,0,0,0,0
60,ティラノサウルス,0,legend,1603,612,3750,0,0,0,0,0,0,0,0
61,ティラノサウルス(第二世代),0,legend,1915,599,3750,0,0,0,0,0,0,0,50000
62,テリジノサウルス,1,legend,2427,325,3500,0,0,0,0,0,0,0,0
63,プテラノドン,2,legend,1520,581,2910,0,0,0,0,0,0,0,0
64,プレオノスクス,3,legend,1616,505,3470,0,0,0,0,0,0,0,50000
65,ミクロポサウルス,3,legend,1570,491,2500,0,0,0,0,0,0,0,0
66,アウストラロティタン,1,tournament,1373,1103,6400,0,0,0,0,0,0,0,0
67,アカントステガ,3,tournament,1617,981,7250,0,0,0,0,0,0,0,0
68,アマルガサウルス,1,tournament,3016,853,7500,0,0,0,0,0,0,0,0
69,アランボウルギアニア,2,tournament,2051,1190,7650,0,0,0,0,0,0,0,0
70,アルバートサウルス,0,tournament,2448,935,7100,0,0,0,0,0,0,0,0
71,アンタークトペルタ,1,tournament,2949,754,7000,0,0,0,0,0,0,0,0
72,イグアノドン,1,tournament,2643,826,6900,0,0,0,0,0,0,0,0
73,イリタトル(第二世代),0,tournament,2379,909,6900,0,0,0,0,0,0,0,0
74,エイニオサウルス,1,tournament,3749,444,6750,0,0,0,0,0,0,0,0
75,エダフォサウルス,0,tournament,4069,482,7350,0,0,0,0,0,0,0,0
76,エドモントサウルス,1,tournament,2078,1206,7750,0,0,0,0,0,0,0,0
77,エリオプス,3,tournament,3754,503,7000,0,0,0,0,0,0,0,0
78,エルリコサウルス,1,tournament,3218,670,7000,0,0,0,0,0,0,0,0
79,オルニトケイルス,2,tournament,3608,752,7850,0,0,0,0,0,0,0,0
80,カプロスクス(第二世代),3,tournament,2892,904,7500,0,0,0,0,0,0,0,150000
81,ギガノトサウルス(第二世代),0,tournament,3620,545,7000,0,0,0,0,0,0,0,0
82,クリオロフォサウルス,0,tournament,2758,862,7200,0,0,0,0,0,0,0,0
83,グリポスクス,3,tournament,2126,1107,7400,0,0,0,0,0,0,0,150000
84,ゲオステルンベルギア,2,tournament,2126,1107,7400,0,0,0,0,0,0,0,150000
85,ケラトサウルス,0,tournament,3311,557,6500,0,0,0,0,0,0,0,0
86,ケントロサウルス,1,tournament,2298,718,6000,0,0,0,0,0,0,0,0
87,コリアノサウルス,1,tournament,1972,1096,7150,0,0,0,0,0,0,0,0
88,ゴルゴサウルス,0,tournament,1839,862,6000,0,0,0,0,0,0,0,0
89,ザルモクセス,1,tournament,1341,1257,7000,0,0,0,0,0,0,0,0
90,シノケラトプス,1,tournament,2739,856,7150,0,0,0,0,0,0,0,0
91,スケリドサウルス,1,tournament,2528,790,6600,0,0,0,0,0,0,0,150000
92,スティラコサウルス ラックス,1,tournament,1784,1107,6950,0,0,0,0,0,0,0,0
93,ステゴサウルス(第二世代),1,tournament,2777,868,7250,0,0,0,0,0,0,0,150000
94,ステゴロス,1,tournament,3061,707,6950,0,0,0,0,0,0,0,0
95,ストルティオミムス,1,tournament,2605,814,6800,0,0,0,0,0,0,0,0
96,スピノサウルス(第二世代),0,tournament,2796,874,7300,0,0,0,0,0,0,0,150000
97,スフェナコドン,0,tournament,2758,862,7150,0,0,0,0,0,0,0,0
98,セアラダクティルス,2,tournament,2499,955,7500,0,0,0,0,0,0,0,0
99,セイムリア,3,tournament,3915,524,7300,0,0,0,0,0,0,0,0
100,セグノサウルス,1,tournament,2011,1167,7500,0,0,0,0,0,0,0,0
101,セコドントサウルス,0,tournament,3610,607,7250,0,0,0,0,0,0,0,0
102,ソノラサウルス,1,tournament,3585,603,7200,0,0,0,0,0,0,0,0
103,タラソドロメウス,2,tournament,4008,603,7750,0,0,0,0,0,0,0,0
104,ダルウィノプテルス,2,tournament,2298,1077,7500,0,0,0,0,0,0,0,0
105,チンタオサウルス,1,tournament,3376,633,7050,0,0,0,0,0,0,0,0
106,ディアブロケラトプス,1,tournament,3160,593,6600,0,0,0,0,0,0,0,0
107,デイノケイルス,1,tournament,1264,922,5500,0,0,0,0,0,0,0,0
108,デイノスクス,3,tournament,3560,599,7100,0,0,0,0,0,0,0,0
109,デイノニクス,0,tournament,2720,850,7100,0,0,0,0,0,0,0,0
110,ディプロカウルス(第二世代),3,tournament,2083,1085,7250,0,0,0,0,0,0,0,0
111,ディプロセラスピス,3,tournament,3749,564,7450,0,0,0,0,0,0,0,0
112,ディロフォサウルス(第二世代),0,tournament,3401,709,7500,0,0,0,0,0,0,0,0
113,テリジノサウルス(第二世代),1,tournament,3955,530,7380,0,0,0,0,0,0,0,0
114,トゥパンダクティルス,2,tournament,3436,796,7800,0,0,0,0,0,0,0,0
115,トゥプクスアラ,2,tournament,2969,928,8000,0,0,0,0,0,0,0,0
116,ドラコヴェナトル,0,tournament,1482,1081,6450,0,0,0,0,0,0,0,0
117,ドラコレックス,1,tournament,2413,922,7000,0,0,0,0,0,0,0,0
118,ドラコレックス(第二世代),1,tournament,1890,1097,7050,0,0,0,0,0,0,0,0
119,トリケラトプス(第二世代),1,tournament,3172,733,7200,0,0,0,0,0,0,0,0
120,ドレッドノータス,1,tournament,3025,743,7500,0,0,0,0,0,0,0,0
121,トロオドン,0,tournament,2298,1077,7500,0,0,0,0,0,0,0,0
122,ニクトサウルス,2,tournament,2314,1084,7550,0,0,0,0,0,0,0,0
123,ノドサウルス,1,tournament,2700,844,6600,0,0,0,0,0,0,0,0
124,パキリノサウルス,1,tournament,2586,808,6750,0,0,0,0,0,0,0,0
125,バゲヘルペトン,3,tournament,2825,883,7380,0,0,0,0,0,0,0,0
126,バジャダサウルス,1,tournament,1689,1232,7350,0,0,0,0,0,0,0,0
127,パラサウロロフス(第二世代),1,tournament,2873,898,7500,0,0,0,0,0,0,0,0
128,フクイサウルス,1,tournament,3013,770,7150,0,0,0,0,0,0,0,150000
129,プテラノドン(第二世代),2,tournament,3064,958,8000,0,0,0,0,0,0,0,0
130,ブラキオサウルス,1,tournament,2959,925,7730,0,0,0,0,0,0,0,0
131,プロテロギリヌス,3,tournament,2787,889,7350,0,0,0,0,0,0,0,0
132,ホマロケファレ,1,tournament,2448,935,7100,0,0,0,0,0,0,0,0
133,ボレアロペルタ,1,tournament,1968,1025,6850,0,0,0,0,0,0,0,0
134,マシアカサウルス,0,tournament,1968,1025,6850,0,0,0,0,0,0,0,0
135,メガロサウルス,0,tournament,2739,856,7000,0,0,0,0,0,0,0,0
136,メトリアカントサウルス,0,tournament,1436,1347,7500,0,0,0,0,0,0,0,0
137,モンキーダクティル,2,tournament,2796,874,7300,0,0,0,0,0,0,0,0
138,ユウティラヌス,0,tournament,1867,973,6500,0,0,0,0,0,0,0,0
139,ユクシサウルス,1,tournament,1631,1058,6550,0,0,0,0,0,0,0,150000
140,リトロナクス,0,tournament,1755,1139,7050,0,0,0,0,0,0,0,0
141,リンチェニア,0,tournament,3097,792,7350,0,0,0,0,0,0,0,0
142,ANGEL,1,star,2226,1549,9380,0,0,0,0,0,0,0,0
143,BETA,0,star,1877,1089,7000,0,0,0,0,0,0,0,0
144,BIG EATIE,0,star,2614,817,6830,0,0,0,0,0,0,0,150000
145,BLONDE BECKY,0,star,3697,556,7150,0,0,0,0,0,0,0,150000
146,BLUE,0,star,1701,1240,7450,0,0,0,0,0,0,0,0
147,BRUNETTE,0,star,2700,844,7050,0,0,0,0,0,0,0,0
148,BUCK,0,star,3232,702,7150,0,0,0,0,0,0,0,0
149,BULL,0,star,2542,971,7380,0,0,0,0,0,0,0,0
150,BUMPY,1,star,2068,970,6750,0,0,0,0,0,0,0,0
151,DELTA,0,star,2729,853,7100,0,0,0,0,0,0,0,0
152,DOE,0,star,2739,856,7150,0,0,0,0,0,0,0,0
153,GHOST,0,star,3610,607,7250,0,0,0,0,0,0,0,0
154,JUNIOR,0,star,2183,1592,9500,0,0,0,0,0,0,0,0
155,LITTLE EATIE,0,star,2432,760,6350,0,0,0,0,0,0,0,0
156,MAJOR,0,star,3524,1101,9200,0,0,0,0,0,0,0,0
157,ONE-ARMED BARYONYX,0,star,1427,1040,7450,0,0,0,0,0,0,0,0
158,PANTHERA,0,star,2693,945,7450,0,0,0,0,0,0,0,150000
159,REBEL,1,star,4273,920,9380,0,0,0,0,0,0,0,0
160,RED,0,star,2672,835,6980,0,0,0,0,0,0,0,0
161,REXY,0,star,2011,1167,7500,0,0,0,0,0,0,0,0
162,SMOOTHIE,1,star,4680,704,9060,0,0,0,0,0,0,0,0
163,THE BIG ONE,0,star,2777,868,7200,0,0,0,0,0,0,0,0
164,THE SPINO,0,star,2401,1015,7380,0,0,0,0,0,0,0,0
165,TIGER,0,star,2303,1495,9250,0,0,0,0,0,0,0,0
166,TORO,0,star,1379,1293,7200,0,0,0,0,0,0,0,0
167,エコー,0,star,2090,1089,7280,0,0,0,0,0,0,0,0
168,チャーリー,0,star,3117,720,7080,0,0,0,0,0,0,0,150000
169,ピアース,1,star,3486,1089,9100,0,0,0,0,0,0,0,150000
170,リューシスティック バリオニクス,0,star,1941,1177,7450,0,0,0,0,0,0,0,0
171,ディメトロドン(第二世代),0,tournament,2849,928,7850,0,0,0,0,0,0,0,0
172,アクロカントサウルス,0,vip,4309,1646,10000,0,0,0,0,0,0,0,0
173,アパトサウルス,1,vip,7182,748,10000,0,0,0,0,0,0,0,0
174,アンキロサウルス(第二世代),1,vip,4309,1646,10000,0,0,0,0,0,0,0,0
175,ウエルホサウルス,1,vip,5027,1421,10000,0,0,0,0,0,0,0,0
176,エウディモルフォドン,2,vip,4788,1496,10000,0,0,0,0,0,0,0,0
177,エオランビア,1,vip,3830,1796,10000,0,0,0,0,0,0,0,0
178,オヴィラプトル,0,vip,4788,1496,10000,0,0,0,0,0,0,0,0
179,ケツァルコアトルス(第二世代),2,vip,3112,2020,10000,0,0,0,0,0,0,0,0
180,ゲロトラックス,3,vip,2873,2095,10000,0,0,0,0,0,0,0,0
181,コンカヴェナトル,0,vip,3352,1945,10000,0,0,0,0,0,0,0,0
182,スティギモロク,1,vip,4788,1496,10000,0,0,0,0,0,0,0,0
183,タニコラグレウス,0,vip,5506,1272,10000,0,0,0,0,0,0,0,0
184,タルボサウルス,0,vip,3352,1945,10000,0,0,0,0,0,0,0,0
185,バリオニクス,0,vip,4788,1496,10000,0,0,0,0,0,0,0,0
186,プテロダウストロ,2,vip,2633,2170,10000,0,0,0,0,0,0,0,0
187,プテロダクティルス,2,vip,3352,1945,10000,0,0,0,0,0,0,0,0
188,プレストスクス,3,vip,3591,1870,10000,0,0,0,0,0,0,0,0
189,プロケラトサウルス,0,vip,2681,2155,10000,0,0,0,0,0,0,0,0
190,マストドンサウルス,3,vip,4788,1496,10000,0,0,0,0,0,0,0,0
191,メトポサウルス,3,vip,4070,1721,10000,0,0,0,0,0,0,0,0
192,ONE-EYED-ALLOSAURUS,0,superstar,5391,1685,14080,0,0,0,0,0,0,0,0
193,SPINOSAURUS REBIRTH,10,superstar,3486,2262,14000,0,0,0,0,0,1,0,0
194,THE CERATO JP3,0,superstar,7079,1140,14000,0,0,0,0,0,0,0,0
195,ピロラプトル DOMINION,10,superstar,2700,2532,14100,0,0,0,0,0,1,0,0
196,アランガサウルス,0,common,804,377,1290,1,0,0,0,0,0,0,0
197,カマイルカ属,2,common,1096,343,1490,1,0,0,0,0,0,0,0
198,ペレカニプトレクス,2,common,1294,494,2030,1,0,0,0,0,0,0,0
199,迷歯亜綱サウルス,1,common,1170,404,1630,1,0,0,0,0,0,0,0
200,オフィアコミムス,1,rare,1622,844,7560,1,0,0,0,0,0,0,0
201,カルノラプトル,0,rare,2498,954,7730,1,0,0,0,0,0,0,0
202,タペヤロサウルス,2,rare,3007,940,8520,1,0,0,0,0,0,0,0
203,ディプロタトル,3,rare,1691,584,4000,1,0,0,0,0,0,0,0
204,ヌンダゴサウルス,3,rare,2328,595,4600,1,0,0,0,0,0,0,0
205,パキセラトプス,1,rare,2511,642,6360,1,0,0,0,0,0,0,0
206,アンキロドカス,1,superrare,3318,1037,10920,1,0,0,0,0,0,0,0
207,ギガノケファロス,1,superrare,3053,636,8490,1,0,0,0,0,0,0,0
208,ステゴケラトプス,1,superrare,3042,778,8960,1,0,0,0,0,0,0,0
209,スピノラプトル,0,superrare,2715,1037,9520,1,0,0,0,0,0,0,0
210,スプランノティタン,0,superrare,3362,1161,11820,1,0,0,0,0,0,0,0
211,トロペオゴテルス,2,superrare,2109,805,7130,1,0,0,0,0,0,0,0
212,パラサウラ,1,superrare,2677,684,7550,1,0,0,0,0,0,0,0
213,メトリアロング,0,superrare,2502,956,8770,1,0,0,0,0,0,0,0
214,インドミナスレックス,0,legend,5430,2074,29400,1,0,0,0,0,0,0,0
215,インドミナスレックス(第二世代),0,legend,6536,2042,29400,1,0,0,0,0,0,0,0
216,ウナイリンクス,1,legend,4723,1208,19720,1,0,0,0,0,0,0,0
217,オスタポサウルス,3,legend,5149,1967,31870,1,0,0,0,0,0,0,0
218,クーラサウルス,3,legend,3864,1476,20500,1,0,0,0,0,0,0,0
219,スクーラサウルス,3,legend,3088,2004,22600,1,0,0,0,0,0,0,0
220,スコリプテルス,2,legend,3771,1178,17900,1,0,0,0,0,0,0,0
221,プリオトロドン,0,legend,6407,2447,39650,1,0,0,0,0,0,0,0
222,ラジャステガ,0,legend,5044,1742,25930,1,0,0,0,0,0,0,0
223,アルモルマタ,1,tournament,11664,3645,83160,1,0,0,0,0,0,0,0
224,アロノギミウス,0,tournament,6184,2781,45000,1,0,0,0,0,0,0,0
225,イグアノスクス,1,tournament,9743,3045,79520,1,0,0,0,0,0,0,0
226,エルリフォサウルス,0,tournament,9690,2238,43070,1,0,0,0,0,0,0,0
227,オフタセラスピス,3,tournament,12367,2577,87920,1,0,0,0,0,0,0,0
228,カプロダクティルス,2,tournament,11576,3617,77120,1,0,0,0,0,0,0,0
229,クリオロブルギア,2,tournament,14973,2520,83160,1,0,0,0,0,0,0,0
230,グリトロナクス,0,tournament,7496,2343,60400,1,0,0,0,0,0,0,0
231,クロマスピナス,0,tournament,11161,3488,82880,1,0,0,0,0,0,0,0
232,ゴルゴスクス,3,tournament,9235,2361,42560,1,0,0,0,0,0,0,0
233,ザルモノドン,2,tournament,8547,2671,55500,1,0,0,0,0,0,0,0
234,スコーピオス・レックス,0,tournament,9395,3957,79520,1,0,0,0,0,0,0,0
235,スコーピオス・レックス(第二世代),0,tournament,9049,5027,77840,1,0,0,0,0,0,0,0
236,スピノケラトプス,1,tournament,9294,3930,80920,1,0,0,0,0,0,0,0
237,セグノスクス,1,tournament,4977,4666,51240,1,0,0,0,0,0,0,0
238,セコドントグナトゥス,2,tournament,6596,3092,61320,1,0,0,0,0,0,0,0
239,セラジノサウルス,0,tournament,9163,3500,48000,1,0,0,0,0,0,0,0
240,ティラノロフォサウルス,0,tournament,7805,2981,63000,1,0,0,0,0,0,0,0
241,ドラコ ラックス,1,tournament,8063,5116,78400,1,0,0,0,0,0,0,0
242,ドラコセラトプス,1,tournament,10709,3346,79520,1,0,0,0,0,0,0,0
243,パキガロサウルス,0,tournament,18006,2134,77000,1,0,0,0,0,0,0,0
244,バゲヘサウルス,3,tournament,6699,4348,82320,1,0,0,0,0,0,0,0
245,フクイミムス,1,tournament,8728,4091,78120,1,0,0,0,0,0,0,0
246,プテルクエトザル,2,tournament,10849,1826,52360,1,0,0,0,0,0,0,0
247,メトリアフォドン,2,tournament,5606,5255,62160,1,0,0,0,0,0,0,0
248,ユドン,0,tournament,11563,3613,78400,1,0,0,0,0,0,0,0
249,TITANOSAURUS,1,superstar,6245,1580,14000,0,0,0,0,0,0,0,0
250,QUETZALCOATLUS REBIRTH,2,superstar,2841,2497,14100,0,0,0,0,0,0,0,0
251,ACANTHOSTEGA REBIRTH,3,superstar,3453,2135,14250,0,0,0,0,0,0,0,0
252,TYRANNOSAURUS REBIRTH,0,superstar,6018,1725,14500,0,0,0,0,0,0,0,0
253,VELOCIRAPTOR REBIRTH,0,superstar,5734,1754,14050,0,0,0,0,0,0,0,0
254,ミュータドン,0,superstar,3246,2904,15600,0,0,0,0,0,0,0,0
255,アランゴティタン,0,common,2348,1280,5160,2,500,66,1000,0,0,0,0
256,ペレカクティルス,2,common,2765,864,8120,2,500,114,1000,0,0,0,0
257,タペヤロケファルス,2,rare,6017,1905,34080,2,660,53,1200,0,0,0,0
258,ディプロスクス,3,rare,3415,1410,16000,2,800,58,1500,0,0,0,0
259,ディメトロカルノス,0,rare,5075,1995,30920,2,1000,48,2000,0,0,0,0
260,ギガキロケファロス,1,superrare,6546,1851,33960,2,1000,36,2000,0,0,0,0
261,スピノタスクス,0,superrare,4469,2594,38080,2,1000,39,2000,0,0,0,0
262,モノステゴトプス,1,superrare,6033,1885,35840,2,1000,33,2000,0,0,0,0
263,インドラプトル,0,legend,10181,4389,117600,2,2000,37,4000,0,0,0,0
264,インドラプトル(第二世代),0,legend,14045,5302,117600,2,2000,37,4000,0,0,0,0
265,スクーナサウルス,1,legend,13087,4040,90400,2,2000,102,4000,0,0,0,0
266,スケリドラスクス,3,legend,15440,4064,82000,2,2000,91,4000,0,0,0,0
267,スコプテロカニス,2,legend,9484,4955,71600,2,2000,344,4000,0,0,0,0
268,オヴィノロフォサウルス,0,tournament,19435,6401,252000,2,3000,178,6000,0,0,0,0
269,ケツァルジャラ,2,tournament,21275,3595,209440,2,3000,25,6000,0,0,0,0
270,スピノトプス,1,tournament,18118,7792,323680,2,3000,86,6000,0,0,0,0
271,ドラコセラトサウルス,1,tournament,16876,5437,318680,2,3000,189,6000,0,0,0,0
272,メガロセヴィア,3,tournament,18514,4389,170240,2,3000,75,6000,0,0,0,0
273,エラスモサウルス,7,superrare,919,287,2400,0,0,0,0,7,2,0,25000
274,オンコプリスティス,7,superrare,1293,135,2000,0,0,0,0,7,2,0,25000
275,ゲオサウルス,8,superrare,569,415,2900,0,0,0,0,8,2,0,0
276,シファクティヌス,8,superrare,552,402,2500,0,0,0,0,8,2,0,0
277,ダコサウルス,8,superrare,460,335,2000,0,0,0,0,8,2,0,0
278,ドリコリンコプス,9,superrare,862,269,2000,0,0,0,0,9,2,0,0
279,トリナクロメルム,9,superrare,735,345,2500,0,0,0,0,9,2,0,25000
280,バキュリテス,8,superrare,958,299,3000,0,0,0,0,8,2,0,25000
281,プセフォデルマ,9,superrare,1341,180,3000,0,0,0,0,9,2,0,0
282,プログナトドン,7,superrare,714,335,2250,0,0,0,0,7,2,0,0
283,プロトステガ,9,superrare,885,226,2200,0,0,0,0,9,2,0,0
284,ヘリコプリオン,7,superrare,644,373,2500,0,0,0,0,7,2,0,0
285,マウイサウルス,7,superrare,552,402,2500,0,0,0,0,7,2,0,0
286,レプトクレイドゥス,9,superrare,1161,156,2150,0,0,0,0,9,2,0,25000
287,アンモナイト,8,legend,1992,335,4000,0,0,0,0,8,2,0,0
288,カイウェケア,7,legend,1781,557,4800,0,0,0,0,7,2,0,0
289,クロノサウルス,9,legend,843,790,4400,0,0,0,0,9,2,0,50000
290,スティクソサウルス,7,legend,2390,402,4800,0,0,0,0,7,2,0,50000
291,ダンクルオステウス,8,legend,1609,503,4200,0,0,0,0,8,2,0,0
292,ハイネリア,8,legend,853,703,4050,0,0,0,0,8,2,0,0
293,ハウフィオサウルス,9,legend,1647,515,4300,0,0,0,0,9,2,0,0
294,プリオサウルス,9,legend,1685,431,4000,0,0,0,0,9,2,0,0
295,プレシオサウルス,7,legend,1896,485,4500,0,0,0,0,7,2,0,0
296,メガロドン,7,legend,1233,716,4600,0,0,0,0,7,2,0,0
297,リードシクティス,8,legend,1431,546,4400,0,0,0,0,8,2,0,0
298,リオプレウロドン,9,legend,1896,485,4500,0,0,0,0,9,2,0,0
299,リゾドゥス,8,legend,1846,369,4900,0,0,0,0,8,2,0,50000
300,アーケロン,9,tournament,3371,862,8000,0,0,0,0,9,2,0,0
301,ウモーナサウルス,9,tournament,2930,1119,8500,0,0,0,0,9,2,0,0
302,エデスタス,7,tournament,3792,970,9000,0,0,0,0,7,2,0,0
303,オフタルモサウルス,9,tournament,3160,988,8260,0,0,0,0,9,2,0,0
304,ギリクス,8,tournament,3428,1071,8300,0,0,0,0,8,2,0,0
305,ゴロニオサウルス,9,tournament,1657,1553,8650,0,0,0,0,9,2,0,150000
306,スコドゥス,8,tournament,3447,1077,9000,0,0,0,0,8,2,0,0
307,テムノドントサウルス,9,tournament,3256,1017,8500,0,0,0,0,9,2,0,0
308,バナノギミウス,8,tournament,1724,1616,9000,0,0,0,0,8,2,0,0
309,バラクーダサウルス,7,tournament,3218,1005,8400,0,0,0,0,7,2,0,0
310,プラテカルプス,7,tournament,4233,712,8500,0,0,0,0,7,2,0,0
311,プレシオスクス,8,tournament,4321,900,8900,0,0,0,0,8,2,0,0
312,モササウルス,7,tournament,3064,958,8000,0,0,0,0,7,2,0,0
313,モササウルス(第二世代),7,tournament,2212,1284,8250,0,0,0,0,7,2,0,0
314,オルサカンサス,8,vip,5267,1347,10000,0,0,0,0,8,2,0,0
315,ジャイアント・オルトコーン,8,vip,4788,1496,10000,0,0,0,0,8,2,0,0
316,ティロサウルス,7,vip,2873,2095,10000,0,0,0,0,7,2,0,0
317,トゥソテウティス,8,vip,3112,2020,10000,0,0,0,0,8,2,0,0
318,ハイノサウルス,7,vip,5267,1347,10000,0,0,0,0,7,2,0,0
319,プラティプテリギウス,9,vip,3830,1796,10000,0,0,0,0,9,2,0,0
320,プロトサウルス,7,vip,5746,1197,10000,0,0,0,0,7,2,0,0
321,ヘノドゥス,9,vip,4788,1496,10000,0,0,0,0,9,2,0,0
322,ロマレオサウルス,9,vip,5027,1421,10000,0,0,0,0,9,2,0,0
323,MOSASAURUS REBIRTH,7,superstar,6550,1365,14250,0,0,0,0,7,2,0,0
324,ゲオラスモサウルス,8,superrare,3680,1150,29680,1,0,0,0,8,2,0,0
325,シナトドン,7,superrare,2499,1450,26600,1,0,0,0,7,2,0,0
326,ダコデルマ,8,superrare,2036,1485,28000,1,0,0,0,8,2,0,0
327,レプトステガ,9,superrare,2156,1337,24360,1,0,0,0,9,2,0,0
328,ハイネコプリオン,8,legend,5036,2360,36680,1,0,0,0,8,2,0,0
329,リオシクトドン,8,legend,6088,1903,49840,1,0,0,0,8,2,0,0
330,ギリリンコプス,9,tournament,5768,2704,57680,1,0,0,0,9,2,0,0
331,スコリンクス,8,tournament,5123,4961,72050,1,0,0,0,8,2,0,0
332,ダンクレオサウルス,7,tournament,6900,3594,68320,1,0,0,0,7,2,0,0
333,テムノドントペルタ,9,tournament,8684,3441,76820,1,0,0,0,9,2,0,0
334,プラティカナイト,8,tournament,15345,2451,82250,1,0,0,0,8,2,0,0
335,メガーケロン,7,tournament,9049,2828,66960,1,0,0,0,7,2,0,0
336,アルケオテリウム,4,superrare,885,226,1500,0,0,0,0,0,0,0,0
337,アンフィキオン,5,superrare,1047,158,1400,0,0,0,0,0,0,0,0
